epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.41741,3.26235,9.19429,2.96027,0,0,0,0,3.19478,4.94748,3.27739,0.1,0,0
2,2.04132,2.88677,10.856,2.7384,0,0,0,0,3.09927,5.05081,3.26241,0.0990099,9.901e-06,9.901e-06
3,2.6833,3.34162,9.63453,3.03126,0,0,0,0,3.12011,5.07221,3.26335,0.0980196,1.9604e-05,1.9604e-05
4,3.2972,3.166,7.46441,2.86229,0,0,0,0,3.01092,5.31533,3.25486,0.0970291,2.9109e-05,2.9109e-05
5,3.92448,3.124,9.04622,2.96795,0,0,0,0,3.07543,5.14759,3.25847,0.0960384,3.8416e-05,3.8416e-05
6,4.58428,3.05359,7.21506,2.88585,0,0,0,0,3.16475,5.08068,3.26846,0.0950475,4.7525e-05,4.7525e-05
7,5.17777,3.25666,9.89675,3.01586,0,0,0,0,3.15716,5.10411,3.26561,0.0940564,5.6436e-05,5.6436e-05
8,5.80033,3.40765,7.39564,3.05098,0,0,0,0,3.20295,5.05403,3.26948,0.0930651,6.5149e-05,6.5149e-05
9,6.41882,3.11937,7.86262,2.92358,0,0,0,0,3.20644,5.07908,3.27015,0.0920737,7.3664e-05,7.3664e-05
10,7.06046,3.12777,9.62512,2.92451,0,0,0,0,3.19316,5.10537,3.27271,0.091082,8.1981e-05,8.1981e-05
11,7.85561,3.13695,8.52692,2.97624,0,0,0,0,2.91046,195.147,3.14653,0.0900901,9.01e-05,9.01e-05
12,8.97569,2.97122,5.18757,2.80907,0,0,0,0,3.07553,208.504,2.90796,0.089098,9.8021e-05,9.8021e-05
13,10.1646,3.40443,4.95211,3.10229,0,0,0,0,2.91017,56.6319,2.9173,0.0881057,0.000105744,0.000105744
14,11.2473,3.2409,4.61062,3.0187,0,0,0,0,2.87362,53.947,2.85119,0.0871133,0.000113269,0.000113269
15,12.3079,2.7285,4.52922,2.68234,0,0,0,0,2.88066,25.1663,2.73932,0.0861206,0.000120596,0.000120596
16,13.2736,3.19472,4.45422,2.94302,0,0,0,0,2.85985,9.9133,2.7546,0.0851277,0.000127725,0.000127725
17,14.2271,3.05871,4.26786,2.90623,0,0,0,0,2.81503,8.22169,2.76321,0.0841347,0.000134656,0.000134656
18,15.1265,2.73848,4.36325,2.68486,0,0,0,0,2.81503,8.22169,2.76321,0.0831414,0.000141389,0.000141389
